BOR;AN;FI;GRP;FI_EJ;REG;DEP;STJ;STJR;CAT;CATR;ESPIC;MFT;CCR;VAGUE;NAT;SIR;RS;COMPRS;NUMVOI;TYPVOI;ADRVOIENOM;COMPDist;ADRBP;ADRCPOST;ADRLIBCOM;COMINSEE;NUMTEL;ARMT
IDB;2019;140018219;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700288;CATTP GTEP (14I02) EPSM CAEN;;35;RTE;DE TROUVILLE;;;14000;CAEN;14118;;
IDB;2019;140018235;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700692;CATTP (14I03) - EPSM CAEN;;;CHE;DU GROS HETRE;;;14100;LISIEUX;14366;;
IDB;2019;140018276;24;140000100;28;14;13;1;156;PUB7;1;0;;0;0;26140093100174;CMP HEROUVILLE (14G01) - CHU CAEN;;;;LA HAUTE FOLIE;CENTRE COMMERCIAL N3;;14200;HEROUVILLE ST CLAIR;14327;;
IDB;2019;140018284;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700676;CMP ADULTES (14G02) - EPSM CAEN;CONSULTATION & THERAPIE FAMILIAL;52;R;D'AUTHIE;;;14000;CAEN;14118;;
IDB;2019;140018318;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700841;CMP ADULTES (14G04) - EPSM CAEN;TOUR MOLIERE;10;R;MOLIERE;3EME ETAGE;;14000;CAEN;14118;;
IDB;2019;140018326;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;;CMP ADULTES (14G05) CH BAYEUX;;13;RTE;DE VAUX;;;14400;BAYEUX;14047;;
IDB;2019;140018334;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;26140092300122;CMP ISIGNY/MER (14G05) - CH BAYEUX;;8;R;DE CHERBOURG;;;14230;ISIGNY SUR MER;14342;;
IDB;2019;140018342;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;USN VIRE - EPSM;;4;R;DESVAUX;;;14500;VIRE NORMANDIE;14762;;
IDB;2019;140018367;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;;CMP LES MONTS D'AUNAY - CHAB;;16;R;DE L'HÔPITAL;;;14260;LES MONTS D AUNAY;14027;;
IDB;2019;140018375;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700353;CMP LISIEUX (14G07) - EPSM CAEN;;4;R;FOURNET;;;14100;LISIEUX;14366;;
IDB;2019;140018391;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;;CMP HEROUVILLE (14I01) - CH BAYEUX;;7;AV;DE CAMBRIDGE;;;14200;HEROUVILLE ST CLAIR;14327;;
IDB;2019;140018425;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;26140092300254;CMPEA (14I01) - CH BAYEUX;;13;RTE;DE VAUX SUR AURE;CMPS;;14400;BAYEUX;14047;;
IDB;2019;140018433;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;26140092300189;CMP PORT EN BESSIN (14I01) - CH BAYEUX;;;R;DE LA CORDERIE;;;14520;PORT EN BESSIN HUPPAIN;14515;;
IDB;2019;140018441;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700361;CMP ENFANTS - CCTEF (14I02) -EPSM CAEN;CHS CAEN;80;BD;DUNOIS;;;14000;CAEN;14118;;
IDB;2019;140018458;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700379;CMP COLOMBELLES (14I02)- EPSM CAEN;;6;R;ELSA TRIOLET;;;14460;COLOMBELLES;14167;;
IDB;2019;140018474;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700395;CMPEA FALAISE (14I02) - EPSM CAEN;CENTRE HOSPITALIER GÉNÉRAL;6;BD;DES BERCAGNES;;;14700;FALAISE;14258;;
IDB;2019;140018508;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700429;CMP ST PIERRE/DIVES (14I03) -EPSM CAEN;;20;R;DU GENERAL LECLERC;;;14170;ST PIERRE EN AUGE;14654;;
IDB;2019;140018516;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;CMPEA VIRE - EPSM;;52;R;DES ACRES;;;14500;VIRE NORMANDIE;14762;;
IDB;2019;140018524;24;140000092;28;14;13;1;156;PUB7;1;0;;0;0;;CMPEA LES MONTS D'AUNAY - CHAB;;24;R;DU 12 JUIN 44;CMPS;;14260;LES MONTS D AUNAY;14027;;
IDB;2019;140018532;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;CMPEA CONDÉ EN NORMANDIE - EPSM;;1;BD;DU 11 NOVEMBRE;;;14110;CONDE EN NORMANDIE;14174;;
IDB;2019;140018557;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700445;ATELIER THEATRE(14G02) - EPSM CAEN;;15T;R;SAINT OUEN;CHS;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140018607;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700486;ATELIER CAFETERIA (INTERS) - EPSM CAEN;;98B;R;CAPONIERE;;;14000;CAEN;14118;;
IDB;2019;140018615;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700494;ATELIER ANIMATION REHABILITATIO(14G08);;15T;R;SAINT OUEN;CHS;BP 223;14000;CAEN;14118;;
IDB;2019;140018631;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700510;ATELIER TRAVAUX EXT. (14G09)-EPSM CAEN;;15T;R;SAINT OUEN;CHS;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140018698;24;140000316;28;14;11;1;412;PUB7;1;0;;0;0;26140127700544;APPARTEMENTS THERAPEUTIQUES -EPSM CAEN;;15T;R;ST OUEN;;;14000;CAEN;14118;;
IDB;2019;140018870;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;CMP CONDÉ EN NORMANDIE - EPSM;;;R;VAUBAILLON;;;14110;CONDE EN NORMANDIE;14174;;
IDB;2019;140019274;24;140000316;28;14;11;1;415;PUB7;1;0;;0;0;26140127701005;SMPR (ANTENNE) - EPSM CAEN;;10;R;DU GENERAL DUPARGE;;;14000;CAEN;14118;;
IDB;2019;140019282;24;140000316;28;14;11;1;415;PUB7;1;0;;0;0;26140127700999;HDJ SMPR CENTRE DE DETENTION-EPSM CAEN;;35;R;DU GÉNÉRAL MOULIN;;;14000;CAEN;14118;;
IDB;2019;140019365;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700569;CMP SALINE (14G02) - EPSM CAEN;CENTRE SOCIAL;;R;PASTEUR;;;14670;SALINE;14712;;
IDB;2019;140019373;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700718;CMP ST PIERRE/DIVES (14G07) -EPSM CAEN;CENTRE SOCIAL;18;R;DU GENERAL LECLERC;;;14170;ST PIERRE EN AUGE;14654;;
IDB;2019;140019381;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700890;CMP DIVES/MER (14G08) - EPSM CAEN;CENTRE MEDICO-SOCIAL;7;R;PIERRE CURIE;;;14160;DIVES SUR MER;14225;;
IDB;2019;140019415;24;140000100;28;14;13;1;366;PUB7;1;0;;0;0;26140093100182;ATELIER THERAPEUTIQUE (14G01)-CHU CAEN;;;AV;COTE DE NACRE;;;14033;CAEN CEDEX 9;14118;;
IDB;2019;140019522;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700601;CMP CAEN-EST (14G02) - EPSM CAEN;;18;R;DES CARMELITES;;;14000;CAEN;14118;;
IDB;2019;140019829;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700668;CMP CAEN SUD (14 G 03) - EPSM CAEN;;;BD;DE BERCAGNES;CENTRE HOSPITALIER;;14700;FALAISE;14258;;
IDB;2019;140021528;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700742;CATTP - CAEN SUD (14G03) - EPSM CAEN;;6;R;DE LA MULOTIERE;HOPITAL DE JOUR;;14700;FALAISE;14258;;
IDB;2019;140021569;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700759;CMP - COTE FLEURIE (14G08) -EPSM CAEN;;;CHE;DE LA PLANE;CENTRE HOSPITALIER;;14600;EQUEMAUVILLE;14243;;
IDB;2019;140021924;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;26140127700619;HOPITAL DE JOUR (14 G 08) - EPSM CAEN;;7;R;PIERRE CURIE;;BP 223;14160;DIVES SUR MER;14225;;
IDB;2019;140021932;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;CATTP VIRE - EPSM;;;R;DES ACRES;;;14500;VIRE NORMANDIE;14762;;
IDB;2019;140021940;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700726;CATTP (14G07) - EPSM CAEN;;18;R;DU GENERAL LECLERC;;;14170;ST PIERRE EN AUGE;14654;;
IDB;2019;140022013;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700965;CMP ADULTES (14G09) - EPSM CAEN;;5;R;DE LA DEFENSE PASSIVE;;;14000;CAEN;14118;;
IDB;2019;140022476;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700833;CMP ADULTES (14G03) - EPSM CAEN;;184;R;DE FALAISE;;;14000;CAEN;14118;;
IDB;2019;140022864;24;140000100;28;14;13;1;156;PUB7;1;0;;0;0;26140093100208;CMP OUISTREHAM (14G01) - CHU CAEN;;65;R;GAMBETTA;;;14150;OUISTREHAM;14488;;
IDB;2019;140022872;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700700;CMP MDA (14I02) - EPSM CAEN;MAISON DES ADOS;9;PL;DE LA MARE;PASS'ADO 14;;14000;CAEN;14118;;
IDB;2019;140022989;24;140000100;28;14;13;1;156;PUB7;1;0;;0;0;26140093100026;CMP - DOUVRES LA DELIVRANDE;;5;PL;DE L'ANCIENNE MAIRIE;;;14440;DOUVRES LA DELIVRANDE;14228;;
IDB;2019;140024225;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700957;CATTP (14G03) - EPSM CAEN;;184;R;DE FALAISE;;;14000;CAEN;14118;;
IDB;2019;140024266;24;140000100;28;14;13;1;444;PUB7;1;0;;0;0;26140093100018;CENTRE DE CRISE ESQUIROL - CHU CAEN;CENTRE DE CRISE ET POST-URGENCE;;AV;COTE DE NACRE;;;14000;CAEN;14118;;
IDB;2019;140024522;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700791;GROUPE ANIMATION - EPSM CAEN;ACTIVITE INTERSECTORIELLE;15T;R;SAINT OUEN;CHS;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140024993;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700635;CMP ADULTES (14 G 08) - EPSM CAEN;;12;R;JEAN REVEL;;;14600;HONFLEUR;14333;;
IDB;2019;140025016;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127700643;CMP - ENFANTS (14 I 03) EPSM CAEN;;18;AV;SECRETAN;;;14160;DIVES SUR MER;14225;;
IDB;2019;140025024;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700650;CATTP (14 I 03) - EPSM CAEN;;18;AV;SECRETAN;;;14160;DIVES SUR MER;14225;;
IDB;2019;140025628;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;26140127700791;ATELIER THÉRAPEUTIQUE PASS'ADO - EPSM;;9;PL;DE LA MARE;;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140025636;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127700726;CATTP - SAINT PIERRE SUR DIVES - EPSM;;20;R;DU GÉNÉRAL LECLERC;;;14170;ST PIERRE EN AUGE;14654;;
IDB;2019;140026279;02;;28;14;14;1;355;;1;0;;1;1;;CH DE LA COTE FLEURIE;CENTRE HOSPITALIER;;;DE LA PLANE - EQUEMAUVILLE;;BP 30009;14601;HONFLEUR CEDEX;14333;0231898989;
IDB;2019;140027210;24;140000159;28;14;13;1;355;PUB2;1;0;;0;0;;CENTRE DE SANTE MENTALE - UHTRS;;2;R;DE BLON;;;14500;VIRE NORMANDIE;14762;;
IDB;2019;140028127;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;26140127700874;HDJ MAISON DES ADO;;9;PL;DE LA MARE;;;14000;CAEN;14118;;
IDB;2019;140028671;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;;CMP COLOMBELLES - EPSM CAEN;;5;R;JULES GUESDE;;;14460;COLOMBELLES;14167;;
IDB;2019;140028689;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;26140127701070;CMP MEZIDON CANON - EPSM CAEN;;9;R;JULES FERRY;;;14270;MEZIDON VALLEE D AUGE;14431;;
IDB;2019;140028697;24;140000316;28;14;11;1;425;PUB7;1;0;;0;0;26140127701062;CATTP MEZIDON CANON - EPSM CAEN;;9;R;JULES FERRY;;;14270;MEZIDON VALLEE D AUGE;14431;;
IDB;2019;140028705;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;;ARTHERAPIE INTERSECTORIELLE -EPSM CAEN;;15T;R;SAINT OUEN;;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140028713;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;;ATELIER CHORALE;;15T;R;SAINT OUEN;;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140028721;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;;ATELIERS SPORT SANTE - EPSM CAEN;;15T;R;SAINT OUEN;;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140028739;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;;ATELIER OCCUPATIONNEL;;15T;R;SAINT OUEN;;BP 223;14012;CAEN CEDEX 1;14118;;
IDB;2019;140028747;24;140000316;28;14;11;1;366;PUB7;1;0;;0;0;;ATELIER ERGOTHERAPIE;;15T;R;SAINT OUEN;;;14012;CAEN CEDEX 1;14118;;
IDB;2019;140028754;24;140000316;28;14;11;1;292;PUB3;1;0;;0;0;;HOPITAL DE JOUR EQUEMAUVILLE - EPSM;;;CHE;DE LA PLANE;CH DE LA COTE FLEURIE;;14600;EQUEMAUVILLE;14243;;
IDB;2019;140028762;24;140000316;28;14;11;1;156;PUB7;1;0;;0;0;;CMP SMPR - EPSM CAEN;;36;R;DU GENERAL MOULIN;;;14000;CAEN;14118;;
IDB;2019;140032707;24;140000100;28;14;13;1;101;PUB1;1;0;;0;0;;HOPITAL DE JOUR HEROUVILLE - CHU CAEN;;;;LA HAUTE FOLIE;CENTRE COMMERCIAL N3;;14200;HEROUVILLE ST CLAIR;14327;;
IDB;2019;150003648;24;150780088;84;15;13;1;156;PUB7;1;0;;0;0;;CMP DE SAINT-FLOUR;;11;R;JEAN BAPTISTE ROZIERES;;;15100;ST FLOUR;15187;;
IDB;2019;150003663;24;150780096;84;15;13;1;156;PUB7;1;0;;0;0;;CMP DU CH HENRI MONDOR - AURILLAC;;50;AV;DE LA REPUBLIQUE;;;15000;AURILLAC;15014;;
IDB;2019;150003671;24;150780096;84;15;13;1;425;PUB7;1;0;;0;0;;CATTP DU CH HENRI MONDOR - AURILLAC;;50;AV;DE LA REPUBLIQUE;;;15000;AURILLAC;15014;;
IDB;2019;150003689;24;150780096;84;15;13;1;156;PUB7;1;0;;0;0;;CMP DE MAURIAC;;;AV;FERNAND TALANDIER;;;15200;MAURIAC;15120;;
IDB;2019;150003697;24;150780096;84;15;13;1;156;PUB7;1;0;;0;0;;CMP DE RIOM-ES-MONTAGNES;;;R;MARGUERITE MEYNIAL;;;15400;RIOM ES MONTAGNES;15162;;
IDB;2019;150003705;24;150780096;84;15;13;1;156;PUB7;1;0;;0;0;;CMP DE MAURS;;7;AV;DE BAGNAC;;;15600;MAURS;15122;;
IDB;2019;150780047;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER CONDAT EN FENIERS;;;;DE BORT;;;15190;CONDAT;15054;0471784000;
IDB;2019;150780088;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE SAINT FLOUR;;;;DOCTEUR MALLET;;;15100;ST FLOUR;15187;0471606464;
IDB;2019;150780096;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER D'AURILLAC;;;;DE LA REPUBLIQUE;;BP229;15002;AURILLAC CEDEX;15014;0471465656;
IDB;2019;150780393;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER PIERRE RAYNAL;SOINS DE SUITE READAPT. FONCT.;;;PIERRE VIALARD;;;15110;CHAUDES AIGUES;15045;0471235027;
IDB;2019;150780468;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE MAURIAC;;;;FERNAND TALANDIER;;;15200;MAURIAC;15120;0471673333;
IDB;2019;150780500;02;;84;15;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE MURAT;;;;PORTE SAINT ESPRIT;;;15300;MURAT;15138;0471203040;
IDB;2019;150782258;24;150780088;84;15;13;1;412;PUB7;1;0;;0;0;26150013600070;APPARTEMENTS THERAPEUTIQUES ST-FLOUR;;;PL;D'ARMES;;;15100;ST FLOUR;15187;;
IDB;2019;150782316;34;150780096;84;15;13;1;362;PUB9;1;0;;0;0;26150284300079;USLD DU CH HENRI MONDOR - AURILLAC;;50;AV;DE LA REPUBLIQUE;;BP 229;15002;AURILLAC CEDEX;15014;;
IDB;2019;150782324;34;150780088;84;15;13;1;362;PUB9;1;0;;0;0;26150013600047;USLD DU CH DE SAINT-FLOUR;;;;;;VOLZAC;15100;ST FLOUR;15187;;
IDB;2019;150782332;34;150780500;84;15;13;1;362;PUB9;1;0;;0;0;26150007800025;USLD CH MURAT;;4B;PTE;SAINT ESPRIT;;;15300;MURAT;15138;;
IDB;2019;150783181;34;150780468;84;15;13;1;362;PUB9;1;0;;0;0;26150005200046;CENTRE DE SOINS DE LONGUE DUREE;;;AV;FERNAND TALANDIER;;;15200;MAURIAC;15120;;
IDB;2019;160000121;02;;75;16;13;1;106;;1;0;;1;1;;CH DE LA ROCHEFOUCAULD;PAYS D'HORTE ET TARDOIRE;;;DU CHAMP DE FOIRE;;;16110;LA ROCHEFOUCAULD;16281;0545675400;
IDB;2019;160000451;02;;75;16;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER D'ANGOULEME;;;;DE GIRAC;;CS 55015 - SAINT-MICHEL;16000;ANGOULEME;16015;0545244040;
IDB;2019;160000485;02;;75;16;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE CONFOLENS;;;;MARCEL PERROT;;BP 50083;16500;CONFOLENS;16106;0545844000;
IDB;2019;160000493;02;;75;16;13;1;355;;1;0;;1;1;;CENTRE HOSPITALIER DE RUFFEC;;;;DE L HOPITAL;;BP 40071;16700;RUFFEC;16292;0545295000;
IDB;2019;160000501;02;;75;16;11;1;292;;1;0;;1;1;;C H CAMILLE CLAUDEL - LA COURONNE;ETAB PUB SANTE MENT DE CHARENTE;;;SANTE MENTALE DE CHARENTE;;CS 90025;16400;LA COURONNE;16113;0545675959;
IDB;2019;160000519;02;;75;16;13;1;106;;1;0;;1;1;;CENTRE HOSPITALIER DE CHATEAUNEUF;;;;DE L'EGLISE;;;16120;CHATEAUNEUF SUR CHARENTE;16090;0545662189;
IDB;2019;160006037;02;;75;16;14;1;355;;1;0;;1;1;;CH -HOPITAUX DU SUD CHARENTE-;;;;DE SAINT BONNET;;BP 31;16300;BARBEZIEUX ST HILAIRE;16028;0545787800;
IDB;2019;160006359;34;160000451;75;16;13;1;362;PUB9;1;0;;0;0;26160034000093;CH ANGOULEME - USLD FONT DOUCE;;;RPT;DE GIRAC;;CS 55015 SAINT-MICHEL;16000;ANGOULEME;16015;;
IDB;2019;160006375;34;160000519;75;16;13;1;362;PUB9;1;0;;0;0;26160018300063;CH CHATEAUNEUF - USLD;;;PL;DE L EGLISE;;;16120;CHATEAUNEUF SUR CHARENTE;16090;;
IDB;2019;160006383;34;160000121;75;16;13;1;362;PUB9;1;0;;0;0;26160026600033;CH LA ROCHEFOUCAULD - USLD;;;PL;DU CHAMP DE FOIRE;;;16110;LA ROCHEFOUCAULD;16281;;
IDB;2019;160006391;34;160000485;75;16;13;1;362;PUB9;1;0;;0;0;26160022500021;CH CONFOLENS - USLD;;;R;MARCEL PERROT;;BP 50083;16500;CONFOLENS;16106;0545844000;
IDB;2019;160006409;34;160014411;75;16;14;1;362;PUB9;1;0;;0;0;20001870300062;CH COGNAC - USLD - CTRE GERONTOL.;;;BD;MONTESQUIEU;;;16108;COGNAC CEDEX;16102;0545801515;
IDB;2019;160007894;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400048;HOP. JOUR INTERSECTORIEL;;40;BD;DE LA REPUBLIQUE;;;16000;ANGOULEME;16015;;
IDB;2019;160007910;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400139;HOPITAL DE JOUR + CMP + CATTP -DOREMI-;;5;R;G BRIAND;;;16100;COGNAC;16102;;
IDB;2019;160007928;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400154;H. DE JOUR -PASSEROSES- BARBEZIEUX;;23;R;LES PASSEROSES;;;16300;BARBEZIEUX ST HILAIRE;16028;;
IDB;2019;160007985;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400105;HOP JOUR INTERSECT - FOYER EN RESEAU;;37;R;ALPHONSE AULARD;;;16000;ANGOULEME;16015;;
IDB;2019;160007993;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400113;HOP. DE JOUR + CMP + CATTP -CH PEGUY-;;2;R;CHARLES PEGUY;;;16000;ANGOULEME;16015;;
IDB;2019;160008017;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400162;HOP. DE JOUR + CMP + CATTP -PATIPATA-;;37;R;LEONCE GUIMBERTEAU;;;16000;ANGOULEME;16015;;
IDB;2019;160008025;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400147;H. DE JOUR + CMP + CATTP -CHASSENEUIL-;;1;R;DES PRES;;;16260;CHASSENEUIL SUR BONNIEURE;16085;;
IDB;2019;160008033;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400402;HOPITAL DE JOUR + CMP + CATTP -RUFFEC-;;26;R;DU 8 MAI 1945;;;16700;RUFFEC;16292;;
IDB;2019;160008066;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400196;CENTRE MEDICO-PSYCHOLOGIQUE;;40;R;FRANCOIS PORCHE;;;16100;COGNAC;16102;;
IDB;2019;160008116;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;;UNITE DE CONSULT. MEDICO-PSY.;;;RPT;DE GIRAC;;CS 55015 SAINT-MICHEL;16000;ANGOULEME;16015;;
IDB;2019;160008124;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400204;CENTRE MEDICO-PSYCHOLOGIQUE;;7;R;NATIONALE;;;16150;CHABANAIS;16070;;
IDB;2019;160008140;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400220;CMP / CAPPT ADULTES;;3;PL;DU CHAMP DE FOIRE;;;16300;BARBEZIEUX ST HILAIRE;16028;;
IDB;2019;160008157;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400238;CMP / CATTP;;;R;ANDRE BOUYER;MAISON DES SOLIDARITES;;16320;VILLEBOIS LAVALETTE;16408;;
IDB;2019;160008165;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400386;CMP / CATTP;;;CHE;DES PRES;;;16210;CHALAIS;16073;;
IDB;2019;160008207;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400394;CMP / CATTP;;;R;D'ANGOULEME;;;16220;MONTBRON;16223;;
IDB;2019;160008215;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400261;CMP LABAJOUDERIE;;6;R;LABAJOUDERIE;;;16500;CONFOLENS;16106;;
IDB;2019;160008348;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400436;H.J. + CMP + CATTP -ESPACE WINNICOTT-;;33;RTE;DU JONCO;;;16400;LA COURONNE;16113;;
IDB;2019;160008934;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400329;CMP / CATTP (PONTREAU);;2;R;PONTREAU;;;16700;RUFFEC;16292;;
IDB;2019;160009213;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400378;CENTRE MEDICO-PSY.;;5;R;F POULENC;;;16800;SOYAUX;16374;;
IDB;2019;160009510;34;160006037;75;16;14;1;362;PUB9;1;0;;0;0;26161071100069;H SUD CHARENTE - USLD;;;RTE;DE SAINT BONNET;;BP 31;16300;BARBEZIEUX ST HILAIRE;16028;;
IDB;2019;160010369;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400527;CMP - A. DE VIGNY;;152;R;ALFRED DE VIGNY;;;16000;ANGOULEME;16015;;
IDB;2019;160012548;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400477;CMP / CATTP;;3;R;DES TAMARIS;;;16270;ROUMAZIERES LOUBERT;16192;;
IDB;2019;160012589;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400493;CMP / CATTP;;1B;AV;DE LA GARE;;;16110;LA ROCHEFOUCAULD;16281;;
IDB;2019;160012639;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400451;CMP / CATTP -BARBEZIEUX-;;11;R;DU DOCTEUR MESLIER;;;16300;BARBEZIEUX ST HILAIRE;16028;;
IDB;2019;160012688;24;160000501;75;16;11;1;425;PUB7;1;0;;0;0;26160032400469;CATTP - COGNAC;;73;R;DE METZ;;;16100;COGNAC;16102;;
IDB;2019;160013223;24;160000501;75;16;11;1;292;PUB3;1;0;;0;0;26160032400048;HOP. JOUR INTERSECTORIEL;;151;R;DE PARIS;;;16000;ANGOULEME;16015;;
IDB;2019;160014270;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400519;CMP + CATTP AGORA;;59;PL;DE LA BUSSATTE;;;16000;ANGOULEME;16015;;
IDB;2019;160014411;02;;75;16;14;1;355;;1;0;;1;1;;CTRE HOSP INTERCOMM DU PAYS DE COGNAC;;;;D ANGOULEME;;CS 50264 - CHATEAUBERNARD;16112;COGNAC CEDEX;16102;0545801515;
IDB;2019;160014643;02;;75;16;29;1;699;;1;9;;1;1;;GCS G.C.C. ONCOLOGIE & RADIOTHERAPIE;;;;GIRAC;;CS 55015 - SAINT-MICHEL;16000;ANGOULEME;16015;;
IDB;2019;160015350;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400535;CMP CENTRE MAGRITTE;;25;R;GAUDICHAUD;;;16000;ANGOULEME;16015;;
IDB;2019;160015426;24;160000501;75;16;11;1;156;PUB7;1;0;;0;0;26160032400535;CMP JUDICIAIRE MAGRITTE;;25;R;GAUDICHAUD;;;16000;ANGOULEME;16015;;
IDB;2019;170000723;08;;75;17;85;2;699;;0;0;;1;1;;CENTRE SAINT MICHEL;;;;DU DOCTEUR SCHWEITZER;;CENTRE HOSPITALIER;17000;LA ROCHELLE;17300;0546439083;
IDB;2019;170000988;06;;75;17;60;3;899;;6;0;;1;1;;ADA - ASSOC DEVELOP AUTODIALYSE 17;;;;ALEXANDER FLEMING;;LES MINIMES;17019;LA ROCHELLE CEDEX 1;17300;0546675393;
IDB;2019;170017586;24;170024194;75;17;14;1;355;PUB2;1;0;;0;0;20002986600098;APPARTEMENTS THERAPEUTIQUES;;;R;DU DOCTEUR SCHWEITZER;;;17019;LA ROCHELLE CEDEX 1;17300;;
